Køn,Navn,2. fremmedsprog,Kunstnerisk fag,Afgangsskole-navn
M,1,Spansk begynder A,Mediefag C,Sct. Norberts Skole (631019)
K,2,Tysk fortsætter B,Billedkunst C,Hældagerskolen (631017)
K,3,Tysk fortsætter B,Billedkunst C,Idrætsefterskolen Lægården (661300)
M,4,Tysk fortsætter B,Mediefag C,Hou Maritime Idrætsefterskole (727305)
K,5,Tysk fortsætter B,Designfag C,Skyum Idrætsefterskole (785301)
K,6,Tysk fortsætter B,Billedkunst C,Englystskolen (603005)
M,7,Tysk fortsætter B,Musik C,Stjernevejskolen (613012)
K,8,Tysk fortsætter B,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,9,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,10,Spansk begynder A,Billedkunst C,Hedensted Skole (613002)
K,11,Spansk begynder A,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,12,Tysk fortsætter B,Mediefag C,Skanderborg Ungdomsskole (746211)
K,13,Spansk begynder A,Billedkunst C,Hou Maritime Idrætsefterskole (727305)
K,14,Tysk fortsætter B,Designfag C,Kirstine Seligmanns Skole (631018)
M,15,Spansk begynder A,Mediefag C,Sct. Norberts Skole (631019)
K,16,Tysk fortsætter B,Billedkunst C,Petersmindeskolen (631012)
K,17,Spansk begynder A,Billedkunst C,Risskov Efterskole (280307)
K,18,Tysk fortsætter B,Billedkunst C,Skyum Idrætsefterskole (785301)
K,19,Tysk fortsætter B,Mediefag C,Skolerne i Oure - Sport & Performance (435301)
K,20,Tysk fortsætter B,Designfag C,Midtjysk Efterskole (625300)
K,21,Tysk fortsætter B,Billedkunst C,Sct. Norberts Skole (631019)
M,22,Fransk begynder A,Mediefag C,Øse Efterskole (567300)
K,23,Spansk begynder A,Designfag C,Grejsdalens Efterskole (631300)
M,24,Spansk begynder A,Designfag C,Vesterlund Efterskole (611300)
M,25,Tysk fortsætter B,Musik C,Mølholm Skole (631009)
K,26,Spansk begynder A,Billedkunst C,Silkeborg Efterskole (280308)
K,27,Tysk fortsætter B,Designfag C,Tronsø Efterskole og Fri Fagskole (280926)
K,28,Tysk fortsætter B,Musik C,Efterskolen Solgården (655302)
K,29,Fransk begynder A,Musik C,Petersmindeskolen (631012)
K,30,Tysk fortsætter B,Designfag C,True North Efterskole Snaptun (280443)
M,31,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,32,Tysk fortsætter B,Mediefag C,Lukas-Skolen (631029)
K,33,Fransk begynder A,Billedkunst C,
M,34,Tysk fortsætter B,Designfag C,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300)
M,35,Tysk fortsætter B,Billedkunst C,Lystruphave Efterskole (749300)
K,36,Fransk begynder A,Billedkunst C,Scienceefterskolen Nordborg Slot (523300)
M,37,Tysk fortsætter B,Mediefag C,True North Efterskole Snaptun (280443)
K,38,Tysk fortsætter B,Musik C,Mariager Høj- & Efterskole (Efterskolen) (719302)
M,39,Tysk fortsætter B,Mediefag C,
M,40,Spansk begynder A,Designfag C,Hellebjerg Idrætsefterskole (619300)
M,41,Fransk begynder A,Mediefag C,Vrigsted Efterskole (619308)
K,42,Spansk begynder A,Musik C,Nøvlingskov Efterskole (677300)
K,43,Spansk begynder A,Billedkunst C,Vedersø Idrætsefterskole (667303)
K,44,Fransk begynder A,Mediefag C,Skolerne i Oure - Sport & Performance (435301)
K,45,Tysk fortsætter B,Billedkunst C,Nøvlingskov Efterskole (677300)
K,46,Spansk begynder A,Billedkunst C,Skolen i Midten (766001)
M,47,Fransk begynder A,Mediefag C,Kirkebakkeskolen (631006)
M,48,Tysk fortsætter B,Mediefag C,Ladelund Efterskole (575306)
K,49,Tysk fortsætter B,Billedkunst C,Ågård Efterskole (605302)
K,50,Spansk begynder A,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,51,Tysk fortsætter B,Musik C,Hou Maritime Idrætsefterskole (727305)
K,52,Fransk begynder A,Billedkunst C,Faaborgegnens Efterskole (431304)
M,53,Tysk fortsætter B,Mediefag C,Bramming Gymnastik- og Idrætsefterskole (557300)
M,54,Fransk begynder A,Musik C,"Vejle Midtbyskole, afdeling Strandgade (281814)"
M,55,Tysk fortsætter B,Designfag C,Kirstine Seligmanns Skole (631018)
K,56,Tysk fortsætter B,Billedkunst C,Brøruphus Efterskole (745300)
K,57,Spansk begynder A,Billedkunst C,Risskov Efterskole (280307)
K,58,Spansk begynder A,Designfag C,Petersmindeskolen (631012)
K,59,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,60,Spansk begynder A,Mediefag C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,61,Spansk begynder A,Billedkunst C,Kongensgaard Efterskole (665309)
M,62,Tysk fortsætter B,Mediefag C,Hellebjerg Idrætsefterskole (619300)
K,63,Spansk begynder A,Billedkunst C,
K,64,Spansk begynder A,Billedkunst C,Skolen i Midten (766001)
K,65,Spansk begynder A,Mediefag C,Vestbirk Musik- & Sportsefterskole (609301)
K,66,Tysk fortsætter B,Billedkunst C,Glamsdalens Idrætsefterskole (433303)
K,67,Fransk begynder A,Billedkunst C,Fjordvang Efterskole (667300)
K,68,Tysk fortsætter B,Billedkunst C,Ågård Efterskole (605302)
K,69,Spansk begynder A,Mediefag C,10. Klasse UngdomsCenter Vejle (631034)
K,70,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,71,Spansk begynder A,Billedkunst C,Hedensted Skole (613002)
K,72,Tysk fortsætter B,Billedkunst C,Vesterlund Efterskole (611300)
K,73,Tysk fortsætter B,Billedkunst C,Bramming Gymnastik- og Idrætsefterskole (557300)
K,74,Tysk fortsætter B,Mediefag C,Sydvestjyllands Efterskole (557303)
K,75,Tysk fortsætter B,Billedkunst C,Risskov Efterskole (280307)
M,76,Spansk begynder A,Billedkunst C,Adventure Efterskolen Sønderjylland Skelde (507301)
M,77,Spansk begynder A,Mediefag C,Lukas-Skolen (631029)
K,78,Tysk fortsætter B,Billedkunst C,Hældagerskolen (631017)
K,79,Spansk begynder A,Mediefag C,Risskov Efterskole (280307)
K,80,Spansk begynder A,Billedkunst C,Bredballe Privatskole (280537)
K,81,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,82,Tysk fortsætter B,Mediefag C,Vesterlund Efterskole (611300)
K,83,Tysk fortsætter B,Billedkunst C,Hellebjerg Idrætsefterskole (619300)
K,84,Tysk fortsætter B,Mediefag C,Glamsdalens Idrætsefterskole (433303)
K,85,Tysk fortsætter B,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,86,Spansk begynder A,Mediefag C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
