class,name,sex,origin,subject,language
Class_A,22,M,Øse Efterskole (567300),Mediefag C,Fransk begynder A
Class_A,33,F,,Billedkunst C,Fransk begynder A
Class_A,36,F,Scienceefterskolen Nordborg Slot (523300),Billedkunst C,Fransk begynder A
Class_A,41,M,Vrigsted Efterskole (619308),Mediefag C,Fransk begynder A
Class_A,44,F,Skolerne i Oure - Sport & Performance (435301),Mediefag C,Fransk begynder A
Class_A,47,M,Kirkebakkeskolen (631006),Mediefag C,Fransk begynder A
Class_A,52,F,Faaborgegnens Efterskole (431304),Billedkunst C,Fransk begynder A
Class_A,67,F,Fjordvang Efterskole (667300),Billedkunst C,Fransk begynder A
Class_A,83,F,Hellebjerg Idrætsefterskole (619300),Billedkunst C,Tysk fortsætter B
Class_A,114,M,Vejlefjordskolen (grundskole) (613009),Mediefag C,Fransk begynder A
Class_A,136,M,NOVAskolen (631011),Mediefag C,Fransk begynder A
Class_A,170,F,Kirkebakkeskolen (631006),Billedkunst C,Tysk fortsætter B
Class_A,177,M,Hellebjerg Idrætsefterskole (619300),Mediefag C,Tysk fortsætter B
Class_A,178,F,Agerskov Ungdomsskole (525300),Billedkunst C,Fransk begynder A
Class_A,191,F,Elbæk Efterskole (609300),Mediefag C,Tysk fortsætter B
Class_A,193,F,Hældagerskolen (631017),Billedkunst C,Tysk fortsætter B
Class_A,198,F,Agerskov Ungdomsskole (525300),Mediefag C,Tysk fortsætter B
Class_A,204,F,,Mediefag C,Tysk fortsætter B
Class_A,208,F,Ågård Efterskole (605302),Billedkunst C,Tysk fortsætter B
Class_A,212,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_A,214,F,Løsning Skole (613005),Billedkunst C,Tysk fortsætter B
Class_A,217,F,Vardeegnens Gymnasieforberedende Efterskole (573300),Billedkunst C,Tysk fortsætter B
Class_A,219,F,Lyngs Idrætsefterskole (675301),Billedkunst C,Tysk fortsætter B
Class_A,222,M,Stjernevejskolen (613012),Mediefag C,Tysk fortsætter B
Class_A,231,M,Lukas-Skolen (631029),Mediefag C,Tysk fortsætter B
Class_A,237,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,35,M,Lystruphave Efterskole (749300),Billedkunst C,Tysk fortsætter B
Class_B,49,F,Ågård Efterskole (605302),Billedkunst C,Tysk fortsætter B
Class_B,73,F,Bramming Gymnastik- og Idrætsefterskole (557300),Billedkunst C,Tysk fortsætter B
Class_B,96,M,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,99,F,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301),Billedkunst C,Tysk fortsætter B
Class_B,109,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,113,F,Skibelund Gymnastik- og Idrætsefterskole (575300),Billedkunst C,Tysk fortsætter B
Class_B,115,F,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300),Billedkunst C,Tysk fortsætter B
Class_B,125,F,Ågård Efterskole (605302),Billedkunst C,Tysk fortsætter B
Class_B,133,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,144,F,Elbæk Efterskole (609300),Billedkunst C,Tysk fortsætter B
Class_B,145,F,Bramming Gymnastik- og Idrætsefterskole (557300),Billedkunst C,Tysk fortsætter B
Class_B,147,F,Hældagerskolen (631017),Billedkunst C,Tysk fortsætter B
Class_B,149,F,Koldingegnens Idrætsefterskole (621304),Billedkunst C,Tysk fortsætter B
Class_B,150,F,Hjemly Fri- og Idrætsefterskole (473300),Billedkunst C,Tysk fortsætter B
Class_B,153,F,Design- & Idrætsefterskolen Skamling (509300),Billedkunst C,Tysk fortsætter B
Class_B,155,F,Vandel Efterskole (605301),Billedkunst C,Tysk fortsætter B
Class_B,161,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,165,F,"Balle Friskole, Balle Musik- & Idrætsefterskole (605300)",Billedkunst C,Tysk fortsætter B
Class_B,166,F,Elbæk Efterskole (609300),Billedkunst C,Tysk fortsætter B
Class_B,167,F,Flemming Efterskole (627300),Billedkunst C,Tysk fortsætter B
Class_B,168,F,,Billedkunst C,Tysk fortsætter B
Class_B,172,F,Petersmindeskolen (631012),Billedkunst C,Tysk fortsætter B
Class_B,173,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Tysk fortsætter B
Class_B,188,F,Søndermarksskolen (631014),Billedkunst C,Tysk fortsætter B
Class_B,223,M,Brøruphus Efterskole (745300),Billedkunst C,Tysk fortsætter B
Class_B,232,F,Bredballe Privatskole (280537),Billedkunst C,Tysk fortsætter B
Class_C,10,F,Hedensted Skole (613002),Billedkunst C,Spansk begynder A
Class_C,11,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Spansk begynder A
Class_C,17,F,Risskov Efterskole (280307),Billedkunst C,Spansk begynder A
Class_C,26,F,Silkeborg Efterskole (280308),Billedkunst C,Spansk begynder A
Class_C,50,F,Kirstine Seligmanns Skole (631018),Billedkunst C,Spansk begynder A
Class_C,64,F,Skolen i Midten (766001),Billedkunst C,Spansk begynder A
Class_C,71,F,Hedensted Skole (613002),Billedkunst C,Spansk begynder A
Class_C,76,M,Adventure Efterskolen Sønderjylland Skelde (507301),Billedkunst C,Spansk begynder A
Class_C,80,F,Bredballe Privatskole (280537),Billedkunst C,Spansk begynder A
Class_C,93,F,Bredballe Privatskole (280537),Billedkunst C,Spansk begynder A
Class_C,101,F,,Dramatik C,Spansk begynder A
Class_C,102,F,Mølholm Skole (631009),Billedkunst C,Spansk begynder A
Class_C,110,F,Ryslinge Høj- og Efterskole (efterskoledelen) (430300),Billedkunst C,Spansk begynder A
Class_C,121,M,Fælleshåbsskolen (280333),Billedkunst C,Spansk begynder A
Class_C,122,M,Midtjysk Efterskole (625300),Billedkunst C,Spansk begynder A
Class_C,151,F,Vejlefjordskolen (grundskole) (613009),Billedkunst C,Spansk begynder A
Class_C,164,F,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300),Billedkunst C,Spansk begynder A
Class_C,181,F,,Billedkunst C,Spansk begynder A
Class_C,183,F,Broby Fri- og Efterskole (efterskole) (425300),Billedkunst C,Spansk begynder A
Class_C,195,F,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301),Billedkunst C,Spansk begynder A
