Solution found (Status: FEASIBLE)

=== Class_A ===
Name       | Sex   | Origin     | Subject    | Language          
----------------------------------------------------------------------
22         | M     | Øse Efterskole (567300) | Mediefag C | Fransk begynder A 
33         | F     |            | Billedkunst C | Fransk begynder A 
36         | F     | Scienceefterskolen Nordborg Slot (523300) | Billedkunst C | Fransk begynder A 
41         | M     | Vrigsted Efterskole (619308) | Mediefag C | Fransk begynder A 
44         | F     | Skolerne i Oure - Sport & Performance (435301) | Mediefag C | Fransk begynder A 
47         | M     | Kirkebakkeskolen (631006) | Mediefag C | Fransk begynder A 
52         | F     | Faaborgegnens Efterskole (431304) | Billedkunst C | Fransk begynder A 
67         | F     | Fjordvang Efterskole (667300) | Billedkunst C | Fransk begynder A 
83         | F     | Hellebjerg Idrætsefterskole (619300) | Billedkunst C | Tysk fortsætter B 
114        | M     | Vejlefjordskolen (grundskole) (613009) | Mediefag C | Fransk begynder A 
136        | M     | NOVAskolen (631011) | Mediefag C | Fransk begynder A 
170        | F     | Kirkebakkeskolen (631006) | Billedkunst C | Tysk fortsætter B 
177        | M     | Hellebjerg Idrætsefterskole (619300) | Mediefag C | Tysk fortsætter B 
178        | F     | Agerskov Ungdomsskole (525300) | Billedkunst C | Fransk begynder A 
191        | F     | Elbæk Efterskole (609300) | Mediefag C | Tysk fortsætter B 
193        | F     | Hældagerskolen (631017) | Billedkunst C | Tysk fortsætter B 
198        | F     | Agerskov Ungdomsskole (525300) | Mediefag C | Tysk fortsætter B 
204        | F     |            | Mediefag C | Tysk fortsætter B 
208        | F     | Ågård Efterskole (605302) | Billedkunst C | Tysk fortsætter B 
212        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
214        | F     | Løsning Skole (613005) | Billedkunst C | Tysk fortsætter B 
217        | F     | Vardeegnens Gymnasieforberedende Efterskole (573300) | Billedkunst C | Tysk fortsætter B 
219        | F     | Lyngs Idrætsefterskole (675301) | Billedkunst C | Tysk fortsætter B 
222        | M     | Stjernevejskolen (613012) | Mediefag C | Tysk fortsætter B 
231        | M     | Lukas-Skolen (631029) | Mediefag C | Tysk fortsætter B 
237        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
Total: 26 students

=== Class_B ===
Name       | Sex   | Origin     | Subject    | Language          
----------------------------------------------------------------------
35         | M     | Lystruphave Efterskole (749300) | Billedkunst C | Tysk fortsætter B 
49         | F     | Ågård Efterskole (605302) | Billedkunst C | Tysk fortsætter B 
73         | F     | Bramming Gymnastik- og Idrætsefterskole (557300) | Billedkunst C | Tysk fortsætter B 
96         | M     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
99         | F     | Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301) | Billedkunst C | Tysk fortsætter B 
109        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
113        | F     | Skibelund Gymnastik- og Idrætsefterskole (575300) | Billedkunst C | Tysk fortsætter B 
115        | F     | Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300) | Billedkunst C | Tysk fortsætter B 
125        | F     | Ågård Efterskole (605302) | Billedkunst C | Tysk fortsætter B 
133        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
144        | F     | Elbæk Efterskole (609300) | Billedkunst C | Tysk fortsætter B 
145        | F     | Bramming Gymnastik- og Idrætsefterskole (557300) | Billedkunst C | Tysk fortsætter B 
147        | F     | Hældagerskolen (631017) | Billedkunst C | Tysk fortsætter B 
149        | F     | Koldingegnens Idrætsefterskole (621304) | Billedkunst C | Tysk fortsætter B 
150        | F     | Hjemly Fri- og Idrætsefterskole (473300) | Billedkunst C | Tysk fortsætter B 
153        | F     | Design- & Idrætsefterskolen Skamling (509300) | Billedkunst C | Tysk fortsætter B 
155        | F     | Vandel Efterskole (605301) | Billedkunst C | Tysk fortsætter B 
161        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
165        | F     | Balle Friskole, Balle Musik- & Idrætsefterskole (605300) | Billedkunst C | Tysk fortsætter B 
166        | F     | Elbæk Efterskole (609300) | Billedkunst C | Tysk fortsætter B 
167        | F     | Flemming Efterskole (627300) | Billedkunst C | Tysk fortsætter B 
168        | F     |            | Billedkunst C | Tysk fortsætter B 
172        | F     | Petersmindeskolen (631012) | Billedkunst C | Tysk fortsætter B 
173        | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Tysk fortsætter B 
188        | F     | Søndermarksskolen (631014) | Billedkunst C | Tysk fortsætter B 
223        | M     | Brøruphus Efterskole (745300) | Billedkunst C | Tysk fortsætter B 
232        | F     | Bredballe Privatskole (280537) | Billedkunst C | Tysk fortsætter B 
Total: 27 students

=== Class_C ===
Name       | Sex   | Origin     | Subject    | Language          
----------------------------------------------------------------------
10         | F     | Hedensted Skole (613002) | Billedkunst C | Spansk begynder A 
11         | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Spansk begynder A 
17         | F     | Risskov Efterskole (280307) | Billedkunst C | Spansk begynder A 
26         | F     | Silkeborg Efterskole (280308) | Billedkunst C | Spansk begynder A 
50         | F     | Kirstine Seligmanns Skole (631018) | Billedkunst C | Spansk begynder A 
64         | F     | Skolen i Midten (766001) | Billedkunst C | Spansk begynder A 
71         | F     | Hedensted Skole (613002) | Billedkunst C | Spansk begynder A 
76         | M     | Adventure Efterskolen Sønderjylland Skelde (507301) | Billedkunst C | Spansk begynder A 
80         | F     | Bredballe Privatskole (280537) | Billedkunst C | Spansk begynder A 
